# Historical KBO FA seed.
# Generated from the NamuWiki historical KBO FA page via namu.moe on 2026-05-14.
# This file intentionally follows the compact bundled-seed style: no save-scoped numeric OOTP ids, only stable player_key/team_code fields.
# player_key is an OOTP export key resolved from cbt_player_team_seasons_seed.csv using romanized player name plus team context and manual review for same-name rows.
# compensation_player_key uses the signing team context because compensation players come from the acquiring club.
# Rows whose FA player_key could not be resolved remain excluded and are listed in obj/reports/historical_fa_seed_unmapped.csv.
# team_code uses existing seed codes: LG, HH, SSG, SAM, NC, kt, LOT, KIA, DOO, KIW. Defunct Hyundai/Heroes-era rows are folded into KIW.
# movement: retained, transfer, overseas. case_label is KBO_FA_APPROVED for official historical FA contracts.
# compensation_type: none, player_plus_cash, cash_only, overseas, unknown.
# contract_years uses numeric tokens only; option years are comma-separated, for example 4,2.
# grade is PRE_GRADE_SYSTEM before 2021; 2021+ grades are A/B/C when listed in annual FA qualification tables, or NOT_GRADED for non-graded overseas-return cases.
season,fa_round,player_key,player_name,original_team_code,signing_team_code,movement,case_label,grade,contract_years,total_contract_value_krw_100m,option_value_krw_100m,compensation_type,compensation_player_key,compensation_player_name,requalification_fa_count,status,source_note
2013,2,lee---001ho-,Ho-jun Lee,SSG,NC,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,20,0,cash_only,NONE,NONE,2,active,transfer_fielder
2013,1,lee---003hye,Hyeon-gon Lee,KIA,NC,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,10.5,3,cash_only,NONE,NONE,1,active,transfer_fielder
2013,2,kim---001ju-,Ju-chan Kim,LOT,KIA,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,50,4,player_plus_cash,hong--003sun,Seong-min Hong,2,active,transfer_fielder
2013,2,hong--000seo,Seong-heun Hong,LOT,DOO,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,31,0,player_plus_cash,kim---002seu,Seung-hoe Kim,2,active,transfer_fielder
2014,2,lee---001yon,Yong-gyu Lee,KIA,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,67,7,player_plus_cash,han---001seu,Seung-taek Han,2,active,transfer_fielder
2014,2,jeong-000geu,Geun-u Jung,SSG,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,70,7,cash_only,NONE,NONE,2,active,transfer_fielder
2014,2,lee---003dae,Dae-hyeong Lee,LG,KIA,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,24,2,player_plus_cash,sin---000seu,Seung-hyeon Shin,2,active,transfer_fielder
2014,2,lee---006jon,Jong-uk Lee,DOO,NC,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,50,2,cash_only,NONE,NONE,2,active,transfer_fielder
2014,2,son---000si-,Si-heon Son,DOO,NC,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,30,2,cash_only,NONE,NONE,2,active,transfer_fielder
2014,2,choi--000jun,Jun-seok Choi,DOO,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,35,4,player_plus_cash,kim---001su-,Su-wan Kim,2,active,transfer_fielder
2015,2,park--001kyu,Gyeong-su Park,LG,kt,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,18,2,cash_only,NONE,NONE,2,active,transfer_fielder
2015,1,park--000ki-,Gi-hyeok Park,LOT,kt,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"3,1",11.4,3,cash_only,NONE,NONE,1,active,transfer_fielder
2016,1,jeong-000san,Sang-ho Jung,SSG,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,32,2,player_plus_cash,choi--001seu,Seung-jun Choi,1,active,transfer_fielder
2016,2,yu----000han,Han-jun Yoo,KIW,kt,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,60,0,cash_only,NONE,NONE,2,active,transfer_fielder
2016,2,park--003sun,Seong-min Park,SAM,NC,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,96,10,player_plus_cash,choi--001jae,Jae-won Choi,2,active,transfer_fielder
2017,2,lee---004won,Won-seok Lee,DOO,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,27,0,player_plus_cash,lee---000heu,Heung-ryeon Lee,2,active,transfer_fielder
2017,2,choi--000hyo,Hyeong-u Choi,SAM,KIA,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,100,0,player_plus_cash,kang--000han,Han-ul Kang,2,active,transfer_fielder
2018,2,hwang-001jae,Jae-gyun Hwang,LOT,kt,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,88,0,player_plus_cash,cho---001moo,Mu-geun Cho,2,active,transfer_fielder
2018,4,kang--001min,Min-ho Kang,LOT,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,90,10,player_plus_cash,ra----000won,Won-tak Na,4,active,transfer_fielder
2018,1,min---000bye,Byeong-heon Min,DOO,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,80,0,player_plus_cash,baek--000min,baek--000min,1,active,transfer_fielder
2018,2,kim---004hye,Hyeon-su Kim,DOO,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,115,0,player_plus_cash,yu----005jae,Jae-yu Yoo,2,active,transfer_fielder
2019,1,yang--000ui-,Ui-ji Yang,DOO,NC,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,125,0,player_plus_cash,lee---001hyu,Hyeong-beom Lee,1,active,transfer_fielder
2020,1,an----000chi,Chi-hong Ahn,KIA,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,2",56,6,player_plus_cash,kim---001hyu,Hyeon-su Kim,1,active,transfer_fielder
2021,1,choi--000ju-,Ju-hwan Choi,DOO,SSG,transfer,KBO_FA_APPROVED,A,4,42,4,player_plus_cash,kang--000seu,Seung-ho Kang,1,active,transfer_fielder
2021,1,oh----000jae,Jae-il Oh,DOO,SAM,transfer,KBO_FA_APPROVED,A,4,50,4,player_plus_cash,park--001gye,Gye-beom Park,1,active,transfer_fielder
2022,2,park--000hae,Hae-min Park,SAM,LG,transfer,KBO_FA_APPROVED,A,4,60,4,player_plus_cash,kim---025jae,Jae-seong Kim,2,active,transfer_fielder
2022,1,park--000geo,Geon-u Park,DOO,NC,transfer,KBO_FA_APPROVED,A,6,100,6,player_plus_cash,kang--001jin,Jin-seong Kang,1,active,transfer_fielder
2022,1,na----000sun,Seong-beom Na,NC,KIA,transfer,KBO_FA_APPROVED,A,6,150,30,player_plus_cash,ha----002jun,Jun-yeong Ha,1,active,transfer_fielder
2022,2,son---000ah-,A-seop Son,LOT,NC,transfer,KBO_FA_APPROVED,B,4,64,8,player_plus_cash,moon--000kyo,Gyeong-chan Moon,2,active,transfer_fielder
2022,1,park--000byu,Byeong-ho Park,KIW,kt,transfer,KBO_FA_APPROVED,C,3,30,3,cash_only,NONE,NONE,1,active,transfer_fielder
2022,1,hur---000do-,Do-hwan Heo,kt,LG,transfer,KBO_FA_APPROVED,C,2,4,0,cash_only,NONE,NONE,1,active,transfer_fielder
2023,1,yoo---000kan,Gang-nam Yoo,LG,LOT,transfer,KBO_FA_APPROVED,A,4,80,6,player_plus_cash,kim---002yoo,Yu-yeong Kim,1,active,transfer_fielder
2023,1,park--000don,Dong-won Park,KIA,LG,transfer,KBO_FA_APPROVED,A,4,65,0,player_plus_cash,kim---003dae,Dae-yu Kim,1,active,transfer_fielder
2023,1,chae--000weu,Eun-seong Chae,LG,HH,transfer,KBO_FA_APPROVED,A,6,90,10,player_plus_cash,yoon--000hye,Ho-sol Yoon,1,active,transfer_fielder
2023,2,yang--000ui-,Ui-ji Yang,NC,DOO,transfer,KBO_FA_APPROVED,B,"4,2",152,42,player_plus_cash,jeon--000cha,jeon--000cha,2,active,transfer_fielder
2023,1,no----001jin,Jin-hyeok Noh,NC,LOT,transfer,KBO_FA_APPROVED,B,4,50,4,player_plus_cash,ahn---000joo,Jung-yeol Ahn,1,active,transfer_fielder
2023,1,park--000sae,Se-hyeok Park,DOO,NC,transfer,KBO_FA_APPROVED,A,4,46,4,player_plus_cash,park--003joo,Jun-yeong Park,1,active,transfer_fielder
2023,3,kim---008san,Sang-su Kim,SAM,kt,transfer,KBO_FA_APPROVED,B,4,29,6,player_plus_cash,kim---023tae,Tae-hun Kim,3,active,transfer_fielder
2023,1,oh----000seo,Seon-jin Oh,SAM,HH,transfer,KBO_FA_APPROVED,C,"1,1",4,0.25,cash_only,NONE,NONE,1,active,transfer_fielder
2024,2,an----000chi,Chi-hong Ahn,LOT,HH,transfer,KBO_FA_APPROVED,B,"4,2",72,25,cash_only,NONE,NONE,2,active,transfer_fielder
2025,1,shim--000woo,U-jun Sim,kt,HH,transfer,KBO_FA_APPROVED,B,4,50,8,player_plus_cash,han---002seu,Seung-ju Han,1,active,transfer_fielder
2025,2,heo---000kye,Gyeong-min Heo,DOO,kt,transfer,KBO_FA_APPROVED,B,4,40,6,player_plus_cash,kim---006you,Yeong-hyeon Kim,2,active,transfer_fielder
2026,1,park--004cha,Chan-ho Park,KIA,DOO,transfer,KBO_FA_APPROVED,A,4,80,2,player_plus_cash,hong--004min,Min-gyu Hong,1,active,transfer_fielder
2026,1,han---001seu,Seung-taek Han,KIA,kt,transfer,KBO_FA_APPROVED,C,4,10,2,cash_only,NONE,NONE,1,active,transfer_fielder
2026,1,kang--000bae,Baek-ho Kang,kt,HH,transfer,KBO_FA_APPROVED,A,4,100,20,player_plus_cash,han---000seu,Seung-hyeok Han,1,active,transfer_fielder
2026,3,kim---004hye,Hyeon-su Kim,LG,kt,transfer,KBO_FA_APPROVED,C,3,50,0,cash_only,NONE,NONE,3,active,transfer_fielder
2026,2,choi--004won,Won-jun Choi,NC,kt,transfer,KBO_FA_APPROVED,A,4,48,6,player_plus_cash,yoon--000jun,yoon--000jun,2,active,transfer_fielder
2026,3,choi--000hyo,Hyeong-u Choi,KIA,SAM,transfer,KBO_FA_APPROVED,C,2,26,UNKNOWN,cash_only,NONE,NONE,3,active,transfer_fielder
2004,3,lee---002seu,Seung-yeop Lee,SAM,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,UNKNOWN,0,overseas,NONE,NONE,3,active,overseas_transfer
2007,2,lee---001byu,Byeong-gyu Lee,LG,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,UNKNOWN,UNKNOWN,UNKNOWN,overseas,NONE,NONE,2,active,overseas_transfer
2009,1,lee---002hye,Hye-cheon Lee,DOO,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,UNKNOWN,UNKNOWN,overseas,NONE,NONE,1,active,overseas_transfer
2010,3,lee---001bum,Beom-ho Lee,HH,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",UNKNOWN,0,overseas,NONE,NONE,3,active,overseas_transfer
2010,4,kim---001tae,Tae-gyun Kim,HH,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,UNKNOWN,UNKNOWN,overseas,NONE,NONE,4,active,overseas_transfer
2012,3,lee---000dae,Dae-ho Lee,LOT,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,UNKNOWN,UNKNOWN,overseas,NONE,NONE,3,active,overseas_transfer
2014,2,yoon--000suk,Seok-min Yoon,KIA,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,UNKNOWN,0,overseas,NONE,NONE,2,active,overseas_transfer
2016,4,kim---004hye,Hyeon-su Kim,DOO,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,UNKNOWN,0,overseas,NONE,NONE,4,active,overseas_transfer
2017,3,hwang-001jae,Jae-gyun Hwang,LOT,OVERSEAS,overseas,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,UNKNOWN,UNKNOWN,overseas,NONE,NONE,3,active,overseas_transfer
2021,4,yang--000hye,Hyeon-jong Yang,KIA,OVERSEAS,overseas,KBO_FA_APPROVED,B,1,UNKNOWN,UNKNOWN,overseas,NONE,NONE,4,active,overseas_transfer
